"","Package","Version"
"1","admiral","1.4.1"
"2","admiraldev","1.4.0"
"3","AsioHeaders","1.30.2-1"
"4","askpass","1.2.1"
"5","assertthat","0.2.1"
"6","backports","1.5.0"
"7","base","4.3.3"
"8","base64enc","0.1-3"
"9","bench","1.1.4"
"10","bigD","0.3.1"
"11","bit","4.6.0"
"12","bit64","4.6.0-1"
"13","bitops","1.0-9"
"14","blob","1.2.4"
"15","brew","1.0-10"
"16","brio","1.1.5"
"17","broom","1.0.9"
"18","bslib","0.9.0"
"19","cachem","1.1.0"
"20","callr","3.7.6"
"21","cards","0.7.1"
"22","cardx","0.3.2"
"23","carrier","0.3.0.4"
"24","cellranger","1.1.0"
"25","checkmate","2.3.4"
"26","chromote","0.5.1"
"27","class","7.3-23"
"28","classInt","0.4-11"
"29","cli","3.6.5"
"30","clipr","0.8.0"
"31","cluster","2.1.8.2"
"32","codetools","0.2-20"
"33","colorspace","2.1-1"
"34","common","1.1.5"
"35","commonmark","2.0.0"
"36","compiler","4.3.3"
"37","conflicted","1.2.0"
"38","covr","3.6.5"
"39","cpp11","0.5.2"
"40","crayon","1.5.3"
"41","crosstalk","1.2.2"
"42","curl","7.0.0"
"43","data.table","1.17.8"
"44","datasets","4.3.3"
"45","DBI","1.2.3"
"46","dbplyr","2.5.1"
"47","desc","1.4.3"
"48","diffdf","1.1.2"
"49","diffobj","0.3.6"
"50","digest","0.6.37"
"51","dplyr","1.2.0"
"52","DT","0.34.0"
"53","dtplyr","1.3.2"
"54","e1071","1.7-17"
"55","ellipsis","0.3.2"
"56","evaluate","1.0.5"
"57","fansi","1.0.6"
"58","farver","2.1.2"
"59","fastmap","1.2.0"
"60","fontawesome","0.5.3"
"61","forcats","1.0.0"
"62","foreign","0.8-91"
"63","Formula","1.2-5"
"64","fs","1.6.6"
"65","gargle","1.6.0"
"66","generics","0.1.4"
"67","ggplot2","3.5.2"
"68","ggplot2movies","0.0.1"
"69","glue","1.8.0"
"70","googledrive","2.1.2"
"71","googlesheets4","1.1.2"
"72","graphics","4.3.3"
"73","grDevices","4.3.3"
"74","grid","4.3.3"
"75","gridExtra","2.3"
"76","gt","1.3.0"
"77","gtable","0.3.6"
"78","gtsummary","2.5.0"
"79","haven","2.5.5"
"80","here","1.0.2"
"81","hexbin","1.28.5"
"82","highr","0.11"
"83","Hmisc","5.2-5"
"84","hms","1.1.3"
"85","htmlTable","2.4.3"
"86","htmltools","0.5.8.1"
"87","htmlwidgets","1.6.4"
"88","httpuv","1.6.16"
"89","httr","1.4.7"
"90","hunspell","3.0.6"
"91","ids","1.0.1"
"92","isoband","0.2.7"
"93","jquerylib","0.1.4"
"94","jsonlite","2.0.0"
"95","juicyjuice","0.1.0"
"96","katex","1.5.0"
"97","KernSmooth","2.23-26"
"98","knitr","1.50"
"99","labeling","0.4.3"
"100","Lahman","14.0-0"
"101","later","1.4.7"
"102","lattice","0.22-7"
"103","lazyeval","0.2.2"
"104","lifecycle","1.0.5"
"105","litedown","0.9"
"106","lobstr","1.2.0"
"107","logr","1.3.9"
"108","lubridate","1.9.4"
"109","magrittr","2.0.3"
"110","mapproj","1.2.12"
"111","maps","3.4.3"
"112","markdown","2.0"
"113","MASS","7.3-60.0.1"
"114","Matrix","1.6-5"
"115","MatrixModels","0.5-4"
"116","memoise","2.0.1"
"117","methods","4.3.3"
"118","mgcv","1.9-3"
"119","mime","0.13"
"120","modelr","0.1.11"
"121","multcomp","1.4-29"
"122","munsell","0.5.1"
"123","mvtnorm","1.3-3"
"124","nlme","3.1-168"
"125","nnet","7.3-20"
"126","nycflights13","1.0.2"
"127","openssl","2.3.3"
"128","otel","0.2.0"
"129","paletteer","1.7.0"
"130","parallel","4.3.3"
"131","pharmaverseadam","1.3.0"
"132","pharmaverseraw","0.1.1"
"133","pharmaversesdtm","1.4.0"
"134","pillar","1.11.0"
"135","pkgbuild","1.4.8"
"136","pkgconfig","2.0.3"
"137","pkgload","1.5.0"
"138","plotly","4.12.0"
"139","praise","1.0.0"
"140","prettyunits","1.2.0"
"141","prismatic","1.1.2"
"142","processx","3.8.6"
"143","profmem","0.7.0"
"144","profvis","0.4.0"
"145","progress","1.2.3"
